Freq.	V(a)-V(b)
5.00000000000000e+06	(-2.60268347846104e+01dB,-9.63607332947384e+00°)
5.01152619038950e+06	(-2.59863479842710e+01dB,-9.61693897212159e+00°)
5.02307895139197e+06	(-2.59458543322198e+01dB,-9.59785309170742e+00°)
5.03465834425902e+06	(-2.59053538156668e+01dB,-9.57881561218085e+00°)
5.04626443038342e+06	(-2.58648464216685e+01dB,-9.55982645764400e+00°)
5.05789727129949e+06	(-2.58243321371270e+01dB,-9.54088555235328e+00°)
5.06955692868340e+06	(-2.57838109487900e+01dB,-9.52199282072003e+00°)
5.08124346435348e+06	(-2.57432828432494e+01dB,-9.50314818731015e+00°)
5.09295694027058e+06	(-2.57027478069417e+01dB,-9.48435157684638e+00°)
5.10469741853840e+06	(-2.56622058261470e+01dB,-9.46560291420786e+00°)
5.11646496140377e+06	(-2.56216568869886e+01dB,-9.44690212443128e+00°)
5.12825963125703e+06	(-2.55811009754330e+01dB,-9.42824913271177e+00°)
5.14008149063236e+06	(-2.55405380772880e+01dB,-9.40964386440277e+00°)
5.15193060220808e+06	(-2.54999681782044e+01dB,-9.39108624501808e+00°)
5.16380702880698e+06	(-2.54593912636729e+01dB,-9.37257620023097e+00°)
5.17571083339672e+06	(-2.54188073190260e+01dB,-9.35411365587645e+00°)
5.18764207909006e+06	(-2.53782163294355e+01dB,-9.33569853795092e+00°)
5.19960082914529e+06	(-2.53376182799135e+01dB,-9.31733077261255e+00°)
5.21158714696652e+06	(-2.52970131553106e+01dB,-9.29901028618324e+00°)
5.22360109610400e+06	(-2.52564009403164e+01dB,-9.28073700514887e+00°)
5.23564274025449e+06	(-2.52157816194584e+01dB,-9.26251085615918e+00°)
5.24771214326160e+06	(-2.51751551771013e+01dB,-9.24433176602906e+00°)
5.25980936911611e+06	(-2.51345215974473e+01dB,-9.22619966173939e+00°)
5.27193448195629e+06	(-2.50938808645344e+01dB,-9.20811447043779e+00°)
5.28408754606829e+06	(-2.50532329622365e+01dB,-9.19007611943841e+00°)
5.29626862588644e+06	(-2.50125778742630e+01dB,-9.17208453622378e+00°)
5.30847778599362e+06	(-2.49719155841575e+01dB,-9.15413964844478e+00°)
5.32071509112157e+06	(-2.49312460752980e+01dB,-9.13624138392151e+00°)
5.33298060615128e+06	(-2.48905693308959e+01dB,-9.11838967064407e+00°)
5.34527439611328e+06	(-2.48498853339954e+01dB,-9.10058443677281e+00°)
5.35759652618802e+06	(-2.48091940674733e+01dB,-9.08282561063967e+00°)
5.36994706170622e+06	(-2.47684955140377e+01dB,-9.06511312074842e+00°)
5.38232606814916e+06	(-2.47277896562280e+01dB,-9.04744689577527e+00°)
5.39473361114914e+06	(-2.46870764764140e+01dB,-9.02982686456966e+00°)
5.40716975648968e+06	(-2.46463559567958e+01dB,-9.01225295615559e+00°)
5.41963457010601e+06	(-2.46056280794020e+01dB,-8.99472509973067e+00°)
5.43212811808532e+06	(-2.45648928260904e+01dB,-8.97724322466865e+00°)
5.44465046666716e+06	(-2.45241501785470e+01dB,-8.95980726051888e+00°)
5.45720168224377e+06	(-2.44834001182846e+01dB,-8.94241713700736e+00°)
5.46978183136046e+06	(-2.44426426266430e+01dB,-8.92507278403733e+00°)
5.48239098071591e+06	(-2.44018776847880e+01dB,-8.90777413168995e+00°)
5.49502919716259e+06	(-2.43611052737110e+01dB,-8.89052111022549e+00°)
5.50769654770706e+06	(-2.43203253742283e+01dB,-8.87331365008303e+00°)
5.52039309951035e+06	(-2.42795379669799e+01dB,-8.85615168188171e+00°)
5.53311891988832e+06	(-2.42387430324297e+01dB,-8.83903513642158e+00°)
5.54587407631199e+06	(-2.41979405508642e+01dB,-8.82196394468378e+00°)
5.55865863640794e+06	(-2.41571305023916e+01dB,-8.80493803783126e+00°)
5.57147266795864e+06	(-2.41163128669425e+01dB,-8.78795734721020e+00°)
5.58431623890279e+06	(-2.40754876242673e+01dB,-8.77102180434959e+00°)
5.59718941733574e+06	(-2.40346547539370e+01dB,-8.75413134096251e+00°)
5.61009227150980e+06	(-2.39938142353417e+01dB,-8.73728588894704e+00°)
5.62302486983462e+06	(-2.39529660476904e+01dB,-8.72048538038626e+00°)
5.63598728087754e+06	(-2.39121101700093e+01dB,-8.70372974754932e+00°)
5.64897957336397e+06	(-2.38712465811428e+01dB,-8.68701892289213e+00°)
5.66200181617777e+06	(-2.38303752597511e+01dB,-8.67035283905793e+00°)
5.67505407836156e+06	(-2.37894961843107e+01dB,-8.65373142887780e+00°)
5.68813642911714e+06	(-2.37486093331125e+01dB,-8.63715462537202e+00°)
5.70124893780582e+06	(-2.37077146842619e+01dB,-8.62062236174952e+00°)
5.71439167394884e+06	(-2.36668122156783e+01dB,-8.60413457141004e+00°)
5.72756470722766e+06	(-2.36259019050932e+01dB,-8.58769118794340e+00°)
5.74076810748440e+06	(-2.35849837300503e+01dB,-8.57129214513114e+00°)
5.75400194472216e+06	(-2.35440576679050e+01dB,-8.55493737694685e+00°)
5.76726628910544e+06	(-2.35031236958225e+01dB,-8.53862681755674e+00°)
5.78056121096048e+06	(-2.34621817907784e+01dB,-8.52236040132075e+00°)
5.79388678077561e+06	(-2.34212319295566e+01dB,-8.50613806279248e+00°)
5.80724306920169e+06	(-2.33802740887493e+01dB,-8.48995973672058e+00°)
5.82063014705244e+06	(-2.33393082447562e+01dB,-8.47382535804900e+00°)
5.83404808530479e+06	(-2.32983343737835e+01dB,-8.45773486191839e+00°)
5.84749695509933e+06	(-2.32573524518431e+01dB,-8.44168818366542e+00°)
5.86097682774063e+06	(-2.32163624547515e+01dB,-8.42568525882471e+00°)
5.87448777469763e+06	(-2.31753643581297e+01dB,-8.40972602312928e+00°)
5.88802986760401e+06	(-2.31343581374016e+01dB,-8.39381041251049e+00°)
5.90160317825863e+06	(-2.30933437677936e+01dB,-8.37793836309969e+00°)
5.91520777862580e+06	(-2.30523212243336e+01dB,-8.36210981122839e+00°)
5.92884374083578e+06	(-2.30112904818507e+01dB,-8.34632469342936e+00°)
5.94251113718507e+06	(-2.29702515149730e+01dB,-8.33058294643636e+00°)
5.95621004013685e+06	(-2.29292042981283e+01dB,-8.31488450718606e+00°)
5.96994052232134e+06	(-2.28881488055422e+01dB,-8.29922931281794e+00°)
5.98370265653619e+06	(-2.28470850112373e+01dB,-8.28361730067550e+00°)
5.99749651574687e+06	(-2.28060128890331e+01dB,-8.26804840830648e+00°)
6.01132217308704e+06	(-2.27649324125441e+01dB,-8.25252257346368e+00°)
6.02517970185896e+06	(-2.27238435551795e+01dB,-8.23703973410585e+00°)
6.03906917553387e+06	(-2.26827462901421e+01dB,-8.22159982839850e+00°)
6.05299066775239e+06	(-2.26416405904277e+01dB,-8.20620279471437e+00°)
6.06694425232486e+06	(-2.26005264288234e+01dB,-8.19084857163391e+00°)
6.08093000323181e+06	(-2.25594037779075e+01dB,-8.17553709794661e+00°)
6.09494799462430e+06	(-2.25182726100483e+01dB,-8.16026831265114e+00°)
6.10899830082433e+06	(-2.24771328974028e+01dB,-8.14504215495649e+00°)
6.12308099632522e+06	(-2.24359846119162e+01dB,-8.12985856428259e+00°)
6.13719615579201e+06	(-2.23948277253210e+01dB,-8.11471748026086e+00°)
6.15134385406188e+06	(-2.23536622091354e+01dB,-8.09961884273493e+00°)
6.16552416614451e+06	(-2.23124880346629e+01dB,-8.08456259176153e+00°)
6.17973716722252e+06	(-2.22713051729912e+01dB,-8.06954866761158e+00°)
6.19398293265182e+06	(-2.22301135949912e+01dB,-8.05457701076977e+00°)
6.20826153796202e+06	(-2.21889132713157e+01dB,-8.03964756193687e+00°)
6.22257305885689e+06	(-2.21477041723993e+01dB,-8.02476026202913e+00°)
6.23691757121468e+06	(-2.21064862684556e+01dB,-8.00991505217967e+00°)
6.25129515108857e+06	(-2.20652595294785e+01dB,-7.99511187373933e+00°)
6.26570587470705e+06	(-2.20240239252394e+01dB,-7.98035066827688e+00°)
6.28014981847434e+06	(-2.19827794252865e+01dB,-7.96563137758020e+00°)
6.29462705897080e+06	(-2.19415259989443e+01dB,-7.95095394365690e+00°)
6.30913767295332e+06	(-2.19002636153125e+01dB,-7.93631830873556e+00°)
6.32368173735572e+06	(-2.18589922432642e+01dB,-7.92172441526564e+00°)
6.33825932928919e+06	(-2.18177118514455e+01dB,-7.90717220591859e+00°)
6.35287052604267e+06	(-2.17764224082741e+01dB,-7.89266162358906e+00°)
6.36751540508327e+06	(-2.17351238819386e+01dB,-7.87819261139487e+00°)
6.38219404405668e+06	(-2.16938162403967e+01dB,-7.86376511267889e+00°)
6.39690652078759e+06	(-2.16524994513748e+01dB,-7.84937907100854e+00°)
6.41165291328007e+06	(-2.16111734823664e+01dB,-7.83503443017749e+00°)
6.42643329971804e+06	(-2.15698383006314e+01dB,-7.82073113420627e+00°)
6.44124775846563e+06	(-2.15284938731946e+01dB,-7.80646912734282e+00°)
6.45609636806763e+06	(-2.14871401668446e+01dB,-7.79224835406365e+00°)
6.47097920724989e+06	(-2.14457771481326e+01dB,-7.77806875907409e+00°)
6.48589635491974e+06	(-2.14044047833720e+01dB,-7.76393028731000e+00°)
6.50084789016641e+06	(-2.13630230386357e+01dB,-7.74983288393748e+00°)
6.51583389226146e+06	(-2.13216318797566e+01dB,-7.73577649435473e+00°)
6.53085444065917e+06	(-2.12802312723252e+01dB,-7.72176106419206e+00°)
6.54590961499699e+06	(-2.12388211816887e+01dB,-7.70778653931327e+00°)
6.56099949509597e+06	(-2.11974015729502e+01dB,-7.69385286581617e+00°)
6.57612416096115e+06	(-2.11559724109670e+01dB,-7.67995999003358e+00°)
6.59128369278199e+06	(-2.11145336603497e+01dB,-7.66610785853412e+00°)
6.60647817093283e+06	(-2.10730852854607e+01dB,-7.65229641812297e+00°)
6.62170767597328e+06	(-2.10316272504132e+01dB,-7.63852561584311e+00°)
6.63697228864865e+06	(-2.09901595190694e+01dB,-7.62479539897545e+00°)
6.65227208989041e+06	(-2.09486820550402e+01dB,-7.61110571504059e+00°)
6.66760716081658e+06	(-2.09071948216829e+01dB,-7.59745651179885e+00°)
6.68297758273217e+06	(-2.08656977821005e+01dB,-7.58384773725170e+00°)
6.69838343712963e+06	(-2.08241908991404e+01dB,-7.57027933964256e+00°)
6.71382480568927e+06	(-2.07826741353927e+01dB,-7.55675126745745e+00°)
6.72930177027970e+06	(-2.07411474531894e+01dB,-7.54326346942620e+00°)
6.74481441295822e+06	(-2.06996108146024e+01dB,-7.52981589452301e+00°)
6.76036281597134e+06	(-2.06580641814428e+01dB,-7.51640849196763e+00°)
6.77594706175513e+06	(-2.06165075152594e+01dB,-7.50304121122628e+00°)
6.79156723293572e+06	(-2.05749407773370e+01dB,-7.48971400201227e+00°)
6.80722341232970e+06	(-2.05333639286954e+01dB,-7.47642681428730e+00°)
6.82291568294457e+06	(-2.04917769300876e+01dB,-7.46317959826212e+00°)
6.83864412797920e+06	(-2.04501797419990e+01dB,-7.44997230439757e+00°)
6.85440883082422e+06	(-2.04085723246455e+01dB,-7.43680488340566e+00°)
6.87020987506253e+06	(-2.03669546379720e+01dB,-7.42367728625007e+00°)
6.88604734446968e+06	(-2.03253266416517e+01dB,-7.41058946414775e+00°)
6.90192132301437e+06	(-2.02836882950837e+01dB,-7.39754136856940e+00°)
6.91783189485885e+06	(-2.02420395573922e+01dB,-7.38453295124068e+00°)
6.93377914435939e+06	(-2.02003803874248e+01dB,-7.37156416414312e+00°)
6.94976315606671e+06	(-2.01587107437509e+01dB,-7.35863495951489e+00°)
6.96578401472646e+06	(-2.01170305846608e+01dB,-7.34574528985229e+00°)
6.98184180527963e+06	(-2.00753398681631e+01dB,-7.33289510791027e+00°)
6.99793661286304e+06	(-2.00336385519843e+01dB,-7.32008436670375e+00°)
7.01406852280974e+06	(-1.99919265935668e+01dB,-7.30731301950861e+00°)
7.03023762064951e+06	(-1.99502039500669e+01dB,-7.29458101986229e+00°)
7.04644399210932e+06	(-1.99084705783545e+01dB,-7.28188832156559e+00°)
